equity,open_positions,amount_invested,stop_price,value_at_entry,stocks_in_positions,stock_price_at_entry,stock_price_at_close,net_gain_loss_amount,net_gain_loss_percent,target_price,stop_hit,stop_hit_price,side
1000.0,,,,,,,,,,,,,
980.0,0.0,20.0,82.5,20.0,MRK,20.0,74.65255302042227,54.652553020422275,273.26276510211136,85.0,True,74.65255302042227,buy
1000.0,0.0,20.0,122.0,20.0,MU,20.0,94.3112327344957,-74.3112327344957,-371.5561636724785,115.0,True,94.3112327344957,sell
1020.0,0.0,20.0,1289.6,20.0,NFLX,20.0,1196.25,-1176.25,-5881.25,1225.0,True,1196.25,sell
-156.25,,,,,,,,,,,,,sell
-230.5612327344957,,,,,,,,,,,,,sell
-175.9086797140734,,,,,,,,,,,,,buy
